Species	Status
Elaphe_paralongissima	extinct
Elaphe_praelongissima	extinct
Elaphe_quatuorlineata	extinct
Elaphe_szyndlari	extinct
Elaphe_vulpina	extinct
Elapidae	extinct
Elgaria_multicarinata	extinct
Entomophontes_hutchisoni	extinct
Entomophontes_incrustatus	extinct
Eoanilius	extinct
Eoanilius_europae	extinct
Eoanilius_oligocenicus	extinct
Eocordyla_mathisi	extinct
Eodiploglossus	extinct
Eodiploglossus_borealis	extinct
Eoglyptosaurus_donohoei	extinct
Eolacerta	extinct
Eolacerta_robusta	extinct
Eonatator	extinct
Eonatator_coellensis	extinct
Eophis_underwoodi	extinct
Eosaniwa_koehni	extinct
Eoxanta_lacertifrons	extinct
Epicrates	extinct
Erdenetesaurus_robinsonae	extinct
Eremias	extinct
Eremiasaurus_heterodontus	extinct
Ergiliinsaurus_postumus	extinct
Eryx	extinct
Escampcerta_amblyodonta	extinct
Estescincosaurus_cooki	extinct
Estesia_mongoliensis	extinct
Eublepharidae	extinct
Euleptes	extinct
Euleptes_gallica	extinct
Eumeces	extinct
Eumeces_antiquus	extinct
Eumeces_fasciatus	extinct
Eunectes	extinct
Eupodophis_descouensi	extinct
Eurheloderma	extinct
Eurheloderma_gallicum	extinct
Exostinus	extinct
Exostinus_lancensis	extinct
Exostinus_serratus	extinct
Falseryx	extinct
Falseryx_neervelpensis	extinct
Falseryx_petersbuchi	extinct
Farancia	extinct
Farancia_abacura	extinct
Flaviagama_dzerzhinskii	extinct
Floridaophis_auffenbergi	extinct
Foliesaurus_boutersemensis	extinct
Funiusaurus_luanchuanensis	extinct
Furcifer	extinct
Gaimanophis_tenuis	extinct
Gambelia	extinct
Gaultia_silvaticus	extinct
Geiseltaliellus	extinct
Geiseltaliellus_grisolli	extinct
Geiseltaliellus_lamandini	extinct
Geiseltaliellus_longicaudus	extinct
Geiseltaliellus_maarius	extinct
Geiseltaliellus_pradiguensis	extinct
Gekkomimus_rugosus	extinct
Gekkonidae	extinct
Gekkonoidea	extinct
Gekkonomorpha	extinct
Gekkota	extinct
Gerandogekko_arambourgi	extinct
Gerandogekko_gaillardi	extinct
Geringophis	extinct
Geringophis_depressus	extinct
Geringophis_robustus	extinct
Geringophis_vetus	extinct
Geringophis_yatkolae	extinct
Gerontoseps_irvinensis	extinct
Gerrhonotinae	extinct
Gerrhonotus	extinct
Gigantophis	extinct
Gigantophis_garstini	extinct
Gilmoreteius	extinct
Gilmoreteius_chulsanensis	extinct
Gilmoreteius_ferrugenous	extinct
Gilmoreteius_gilmorei	extinct
Gladidenagama_semiplena	extinct
Globaura_venusta	extinct
Globidens	extinct
Globidens_alabamensis	extinct
Globidens_dakotensis	extinct
Globidens_phosphaticus	extinct
Globidens_schurmanni	extinct
Glyptogenys_ornata	extinct
Glyptosaurinae	extinct
Glyptosaurini	extinct
Glyptosaurus	extinct
Glyptosaurus_agmodon	extinct
Glyptosaurus_rhodinos	extinct
Glyptosaurus_sylvestris	extinct
Gobekko_cretacicus	extinct
Gobiderma_pulchra	extinct
Gobileon_emersoculatus	extinct
Gobinatus_arenosus	extinct
Goinophis	extinct
Goinophis_minusculus	extinct
Goronyosaurus	extinct
Goronyosaurus_nigeriensis	extinct
Gracilicerta_sindexi	extinct
Graminisaurus_interruptus	extinct
Gueragama_sulamericana	extinct
Gurvansaurus_canaliculatus	extinct
Gurvansaurus_potissimus	extinct
Gyalopion	extinct
Haasiasaurus_gittelmani	extinct
Haasiophis_terrasanctus	extinct
Hainosaurus	extinct
Hainosaurus_bernardi	extinct
Hainosaurus_neumilleri	extinct
Hakuseps_imberis	extinct
Halisaurinae	extinct
Halisaurus	extinct
Halisaurus_arambourgi	extinct
Halisaurus_platyspondylus	extinct
Halisaurus_sternbergi	extinct
Haptosphenus	extinct
Haptosphenus_placodon	extinct
Harmodontosaurus_emeryensis	extinct
Harrisonsaurus_fossilis	extinct
Headonophis_harrisoni	extinct
Hechtophis	extinct
Hechtophis_austrinus	extinct
Helagras_orellanensis	extinct
Helagras_prisciformis	extinct
Heloderma	extinct
Heloderma_texana	extinct
Helodermatidae	extinct
Helodermoides	extinct
Helodermoides_mongoliensis	extinct
Helodermoides_tuberculatus	extinct
Helvetisaurus	extinct
Helvetisaurus_picteti	extinct
Hemishinisaurus_latifrons	extinct
Herensugea_caristiorum	extinct
Heterodon	extinct
Heterodon_nasicus	extinct
Heterodon_platyrhinos	extinct
Heterodon_plionasicus	extinct
Heterodon_simus	extinct
Heterodontagama_borsukae	extinct
Hierophis	extinct
Hispanophis_coronelloideus	extinct
Hoburogekko_suchanovi	extinct
Hodzhakulia	extinct
Hodzhakulia_magna	extinct
Hoffstetterella_brasiliensis	extinct
Holbrookia	extinct
Holbrookia_antiqua	extinct
Hordleophis_balconae	extinct
Hoyalacerta_sanzi	extinct
Huberophis_georgiensis	extinct
Huehuecuetzpalli_mixtecus	extinct
Hugueneysaurus_globidens	extinct
Hydrophiinae	extinct
Hymenosaurus_clarki	extinct
Hyporhina_antiqua	extinct
Hyporhina_galbreathi	extinct
Hyporhina_tertia	extinct
Hypsiglena	extinct
Igdamanosaurus_aegyptiacus	extinct
Igua_minuta	extinct
Iguania	extinct
Iguanidae	extinct
Iguaninae	extinct
Ilekia_sibirica	extinct
Incongruelaps_iteratus	extinct
Indiagama_gujarata	extinct
Indophis_fanambinana	extinct
Indophis_sahnii	extinct
Isodontosaurus_gracilis	extinct
Itaboraiophis_depressus	extinct
Jeddaherdan_aleadonta	extinct
Jepsibaena	extinct
Jepsibaena_minor	extinct
Jucaraseps_grandipes	extinct
Judeasaurus_tchernovi	extinct
Kaganaias_hakusanensis	extinct
Kataria_anisodonta	extinct
Kelyophis_hechti	extinct
Khaichinguana_eocaenica	extinct
Khaichinsaurus_reshetovi	extinct
Kleskunsaurus_grandeprairiensis	extinct
Komensaurus_carrolli	extinct
Konkasaurus_mahalana	extinct
Kourisodon	extinct
